"","name","count","class"
"1","action",90,"Cycling"
"2","action energy",31,"Cycling"
"3","active",74,"Cycling"
"4","administration",1,"Cycling"
"5","adult",46,"Cycling"
"6","adventure",5,"Cycling"
"7","agriculture",1,"Cycling"
"8","ancient",3,"Cycling"
"9","animal",1,"Cycling"
"10","architecture",7,"Cycling"
"11","art",1,"Cycling"
"12","athlete",160,"Cycling"
"13","athletics",4,"Cycling"
"14","audience",1,"Cycling"
"15","auto racing",3,"Cycling"
"16","avian",1,"Cycling"
"17","award",1,"Cycling"
"18","ball",3,"Cycling"
"19","banner",1,"Cycling"
"20","basketball",1,"Cycling"
"21","beach",1,"Cycling"
"22","beak",1,"Cycling"
"23","bicycle",12,"Cycling"
"24","bike",150,"Cycling"
"25","biker",107,"Cycling"
"26","bird",1,"Cycling"
"27","black and white",1,"Cycling"
"28","blooming",1,"Cycling"
"29","board",1,"Cycling"
"30","branch",1,"Cycling"
"31","bridge",2,"Cycling"
"32","bright",1,"Cycling"
"33","bronze",1,"Cycling"
"34","building",5,"Cycling"
"35","bulb",1,"Cycling"
"36","business",1,"Cycling"
"37","cemetery",2,"Cycling"
"38","challenge",2,"Cycling"
"39","champion",4,"Cycling"
"40","championship",110,"Cycling"
"41","chapel",1,"Cycling"
"42","child",1,"Cycling"
"43","church",2,"Cycling"
"44","city",2,"Cycling"
"45","closeup",2,"Cycling"
"46","coaching",1,"Cycling"
"47","color",1,"Cycling"
"48","competition",179,"Cycling"
"49","country",1,"Cycling"
"50","countryside",2,"Cycling"
"51","cross",2,"Cycling"
"52","crowd",1,"Cycling"
"53","cup",4,"Cycling"
"54","cyclist",138,"Cycling"
"55","dam",2,"Cycling"
"56","dawn",3,"Cycling"
"57","daylight",1,"Cycling"
"58","delicate",1,"Cycling"
"59","desert",1,"Cycling"
"60","drag race",1,"Cycling"
"61","drive",1,"Cycling"
"62","dune",1,"Cycling"
"63","Easter",1,"Cycling"
"64","editorial",1,"Cycling"
"65","elite",2,"Cycling"
"66","endurance",3,"Cycling"
"67","environment",2,"Cycling"
"68","event",2,"Cycling"
"69","exercise",85,"Cycling"
"70","exhibition",1,"Cycling"
"71","exterior",1,"Cycling"
"72","facade",1,"Cycling"
"73","fall",3,"Cycling"
"74","family",1,"Cycling"
"75","farm",1,"Cycling"
"76","fast",79,"Cycling"
"77","field",1,"Cycling"
"78","fitness",31,"Cycling"
"79","flora",2,"Cycling"
