,name,value
0,people,0.98929536
1,two,0.90835136
2,group,0.9029921
3,family,0.90151954
4,man,0.9007108
5,no person,0.995204
6,architecture,0.9942597
7,city,0.9812579
8,building,0.9797212
9,travel,0.9779645
10,illuminated,0.973174
11,light,0.96966434
12,outdoors,0.94867635
13,dusk,0.9442141
14,evening,0.9408768
15,urban,0.9054347
16,street,0.9008784
17,performance,0.99682975
18,concert,0.9955565
19,music,0.99407834
20,musician,0.9878576
21,singer,0.9831693
22,band,0.9698026
23,man,0.95632195
24,festival,0.9507098
25,people,0.9422156
26,stage,0.92628837
27,pop music,0.90010476
28,one,0.90001273
29,performance,0.9990936
30,music,0.9968593
31,concert,0.99291503
32,musician,0.977859
33,festival,0.9735751
34,singer,0.97237885
35,band,0.9490112
36,stage,0.9306833
37,energy,0.9036126
38,performance,0.9960158
39,music,0.99535525
40,concert,0.98989046
41,musician,0.9823803
42,singer,0.975792
43,festival,0.9281912
44,man,0.9226222
45,people,0.9222981
46,guitarist,0.91343766
47,band,0.9115404
48,stage,0.9114826
49,guitar,0.904279
50,stringed instrument,0.90149176
51,music,0.9947803
52,concert,0.9935553
53,performance,0.99086773
54,people,0.9898941
55,musician,0.9832553
56,singer,0.98106545
57,band,0.97392166
58,audience,0.9691349
59,crowd,0.9652706
60,stage,0.96084464
61,festival,0.9595585
62,many,0.9506643
63,group,0.94808483
64,dancing,0.9253254
65,nightclub,0.9116269
66,man,0.9020065
67,performance,0.9981332
68,concert,0.9963535
69,music,0.9962862
70,musician,0.98498654
71,singer,0.98169535
72,band,0.9737811
73,festival,0.9595363
74,stage,0.9530388
75,guitar,0.9331368
76,guitarist,0.9257767
77,performance,0.9966464
78,music,0.996103
79,concert,0.9932684
80,singer,0.98522455
81,musician,0.98250294
82,band,0.95685613
83,stage,0.9428699
84,guitarist,0.94070303
85,guitar,0.90557814
86,festival,0.90345037
87,music,0.9971794
88,performance,0.9969145
89,concert,0.9925492
90,musician,0.9864347
91,singer,0.97938347
92,band,0.96540964
93,stage,0.96490383
94,guitar,0.95788825
95,festival,0.9577841
96,guitarist,0.94074094
97,people,0.9181472
98,people,0.9819499
99,education,0.96951437
100,adult,0.95914274
101,man,0.9560884
102,woman,0.9443449
103,school,0.9349888
104,indoors,0.9239431
105,music,0.99930894
106,musician,0.9983518
107,instrument,0.9939936
108,performance,0.9928889
109,concert,0.9877541
110,jazz,0.9853754
111,people,0.98364747
112,orchestra,0.98335975
113,classical music,0.9642382
114,rehearsal,0.96160555
115,group,0.9424336
116,band,0.93624187
117,violin,0.92923766
118,man,0.92139727
119,education,0.9199184
120,adult,0.9055637
121,music,0.99689907
122,concert,0.9965811
123,performance,0.99262977
124,musician,0.9853261
125,stage,0.9846536
126,singer,0.97681856
127,band,0.97374666
128,audience,0.9687196
129,people,0.9682716
130,guitar,0.96574026
131,group,0.9431042
132,pop music,0.92509425
133,guitarist,0.9198226
134,instrument,0.91689694
135,festival,0.90048444
136,music,0.9894656
137,people,0.9595624
138,festival,0.9563706
139,performance,0.9502553
140,musician,0.9373437
141,concert,0.93030155
142,singer,0.9142618
143,performance,0.9960805
144,music,0.98998946
145,concert,0.9882932
146,singer,0.9757386
147,musician,0.9703044
148,stage,0.96343625
149,band,0.93135643
150,music,0.9978645
151,concert,0.99598503
152,performance,0.9953356
153,musician,0.9889822
154,festival,0.98554635
155,singer,0.98460865
156,band,0.98064804
157,loud,0.9633901
158,stage,0.9522567
159,people,0.91328317
160,pop music,0.91314507
161,crowd,0.9096223
162,celebration,0.90958905
163,guitarist,0.9052561
164,performance,0.99967813
165,music,0.9994264
166,concert,0.9989599
167,musician,0.9934797
168,singer,0.992863
169,band,0.991089
170,stage,0.9821527
171,pop music,0.9732168
172,festival,0.97109634
173,guitarist,0.95683825
174,song,0.9417577
175,audience,0.93804455
176,performance,0.99902767
177,concert,0.99536616
178,music,0.99514586
179,musician,0.977762
180,singer,0.97358763
181,band,0.9344804
182,festival,0.93314123
183,stage,0.9181484
184,music,0.996662
185,performance,0.9964846
186,concert,0.98711944
187,musician,0.9700577
188,singer,0.95968926
189,stage,0.94645286
190,band,0.90199536
191,people,0.98592496
192,music,0.98170286
193,performance,0.96250635
194,concert,0.96189934
195,group,0.95724285
196,singer,0.95221424
197,musician,0.9514812
198,festival,0.9472136
199,band,0.92583424
200,music,0.9991933
201,performance,0.9979515
202,musician,0.9953721
203,concert,0.9945184
204,drummer,0.98827344
205,band,0.98638135
206,singer,0.9809436
207,drum,0.9750731
208,percussion instrument,0.9626858
209,pop music,0.95700026
210,instrument,0.95420307
211,rock,0.9385391
212,guitarist,0.92571867
213,stage,0.92501235
214,festival,0.92498326
215,guitar,0.9221574
216,performance,0.99961233
217,music,0.999308
218,concert,0.99825203
219,musician,0.99738395
220,singer,0.9932613
221,instrument,0.99101865
222,festival,0.97618675
223,band,0.9753742
224,stage,0.9744971
225,stringed instrument,0.9668957
226,drum,0.9633808
227,guitar,0.9501865
228,guitarist,0.9432265
229,percussion instrument,0.9353155
230,drummer,0.92099255
231,pop music,0.9185716
232,performance,0.9993962
233,concert,0.998086
234,music,0.9978566
235,musician,0.991426
236,singer,0.98989606
237,band,0.9835644
238,festival,0.97815907
239,stage,0.96438444
240,guitarist,0.9589241
241,guitar,0.90914655
242,people,0.9869135
243,man,0.9862689
244,performance,0.97696096
245,music,0.9763614
246,concert,0.9558863
247,musician,0.93797636
248,singer,0.93777144
249,dark,0.9326676
250,adult,0.928994
251,stage,0.9220092
252,one,0.9155779
253,concert,0.99356407
254,music,0.98928213
255,singer,0.97509235
256,musician,0.9693638
257,performance,0.9672493
258,portrait,0.9456265
259,band,0.9440601
260,people,0.93973935
261,man,0.9301992
262,stage,0.9219488
263,pop music,0.91484
264,performance,0.99891996
265,music,0.9987775
266,concert,0.997452
267,musician,0.9973792
268,singer,0.9914007
269,guitar,0.98877335
270,band,0.98599917
271,guitarist,0.9821488
272,stage,0.9788552
273,instrument,0.9774872
274,festival,0.9754815
275,stringed instrument,0.9721659
276,people,0.91803783
277,pop music,0.91447353
278,indie,0.9067068
279,performance,0.99864924
280,concert,0.99859655
281,music,0.9977889
282,musician,0.9896348
283,band,0.9869992
284,singer,0.9867991
285,stage,0.9794688
286,festival,0.9685276
287,indie,0.9298428
288,pop music,0.9108021
289,guitarist,0.9035101
290,guitar,0.900702
291,music,0.9991523
292,performance,0.9977587
293,concert,0.9965503
294,musician,0.995368
295,drummer,0.9911138
296,percussion instrument,0.9882614
297,drum,0.9796022
298,band,0.97212416
299,singer,0.9696868
300,festival,0.96536964
301,instrument,0.9399346
302,stage,0.9328957
303,people,0.90542907
304,concert,0.9991667
305,music,0.99914706
306,performance,0.99898005
307,stage,0.9970926
308,festival,0.9917861
309,band,0.9901278
310,musician,0.989177
311,singer,0.9881877
312,nightclub,0.96010005
313,audience,0.9565049
314,club,0.9562609
315,pop music,0.9543028
316,light,0.9350852
317,spotlight,0.9114363
318,rap,0.908986
319,celebration,0.9087286
320,dancing,0.9067515
321,party,0.9030054
322,music,0.9977379
323,concert,0.99742234
324,performance,0.99739134
325,musician,0.9849434
326,singer,0.9832691
327,band,0.97151315
328,festival,0.9570812
329,stage,0.9443385
330,pop music,0.9353765
331,indie,0.9203744
332,rock,0.900741
333,performance,0.99940807
334,concert,0.99899864
335,music,0.9986522
336,singer,0.9944043
337,musician,0.99349797
338,band,0.9888396
339,stage,0.9810322
340,festival,0.9754727
341,pop music,0.9399203
342,indie,0.9393263
343,guitar,0.9292134
344,guitarist,0.92153454
345,songwriter,0.91127324
346,performance,0.99694127
347,music,0.9949053
348,concert,0.992764
349,singer,0.973824
350,musician,0.9596079
351,stage,0.94749594
352,band,0.9210254
353,festival,0.9063668
354,performance,0.99299794
355,music,0.9899007
356,concert,0.9794966
357,musician,0.9634446
358,festival,0.9538918
359,singer,0.95310533
360,guitar,0.93715334
361,stringed instrument,0.929785
362,people,0.9952737
363,music,0.9876753
364,group,0.9769902
365,many,0.96485215
366,adult,0.9543599
367,musician,0.95218885
368,woman,0.9231074
369,instrument,0.91625386
370,group together,0.9150677
371,band,0.9134021
372,man,0.91095555
373,street,0.9087226
374,music,0.99700654
375,performance,0.99592656
376,concert,0.99542534
377,musician,0.9892807
378,singer,0.9853556
379,stage,0.9831285
380,band,0.97468936
381,people,0.96675634
382,festival,0.9551439
383,guitar,0.94787955
384,audience,0.94766736
385,guitarist,0.9418014
386,pop music,0.9184128
387,group,0.9074238
388,instrument,0.9054225
389,man,0.98171055
390,gun,0.96277547
391,people,0.95378935
392,military,0.94723874
393,war,0.94703996
394,uniform,0.935869
395,weapon,0.9312263
396,adult,0.9227673
397,dark,0.9194192
398,helmet,0.90895736
399,people,0.9983338
400,many,0.9955893
401,crowd,0.9878364
402,group,0.9852332
403,adult,0.9720285
404,group together,0.96873087
405,audience,0.96015596
406,woman,0.95594287
407,music,0.9550481
408,sports fan,0.9503669
409,man,0.94451714
410,spectator,0.94401145
411,concert,0.9428549
412,recreation,0.942333
413,performance,0.9300718
414,people,0.99742126
415,many,0.99377024
416,crowd,0.98235226
417,group,0.9735629
418,sports fan,0.9658146
419,group together,0.96406084
420,adult,0.962627
421,woman,0.9460808
422,music,0.94366074
423,audience,0.9380219
424,competition,0.92897475
425,recreation,0.9227801
426,performance,0.9155656
427,spectator,0.91487914
428,soccer,0.9115193
429,concert,0.90436447
430,silhouette,0.97458357
431,music,0.9669993
432,illustration,0.9408822
433,concert,0.9253487
434,art,0.92201746
435,vector,0.92197895
436,stage,0.9209924
437,light,0.91533184
438,desktop,0.9121265
439,festival,0.9046144
440,stage,0.9862461
441,performance,0.9684843
442,music,0.96681464
443,concert,0.96141416
444,people,0.94677246
445,art,0.94541097
446,public show,0.9236027
447,man,0.9217707
448,festival,0.9201985
449,silhouette,0.90972894
450,flame,0.9091278
451,singer,0.9017638
452,light,0.9004631
453,music,0.9974466
454,performance,0.9939416
455,concert,0.9914912
456,festival,0.972952
457,musician,0.9728902
458,stage,0.9724109
459,singer,0.97165287
460,people,0.95402735
461,band,0.94635034
462,one,0.9229069
463,music,0.9973131
464,performance,0.9961841
465,concert,0.9906685
466,singer,0.9780333
467,musician,0.9763342
468,stage,0.96621656
469,band,0.94548774
470,festival,0.92318
471,pop music,0.9127313
472,people,0.9082272
473,guitar,0.90204555
474,performance,0.9984921
475,music,0.9981476
476,concert,0.9936559
477,singer,0.9851463
478,musician,0.9848362
479,stage,0.9745256
480,festival,0.96280533
481,band,0.9530933
482,pop music,0.9310743
483,music,0.9988177
484,performance,0.99812114
485,concert,0.995394
486,musician,0.98944056
487,singer,0.98923403
488,stage,0.98680234
489,band,0.96951294
490,festival,0.9688517
491,pop music,0.9426222
492,people,0.9418916
493,guitar,0.9010078
494,performance,0.9989637
495,music,0.9976423
496,concert,0.9971202
497,musician,0.9942157
498,singer,0.99195343
499,stage,0.95548695
500,festival,0.94737124
501,band,0.9453428
502,guitar,0.9426154
503,guitarist,0.9357218
504,people,0.92773545
505,instrument,0.9222557
506,pop music,0.92135704
507,stringed instrument,0.9208964
508,microphone,0.91354823
509,performance,0.99802065
510,music,0.99775875
511,concert,0.9973172
512,musician,0.9925357
513,singer,0.9872116
514,band,0.9773985
515,stage,0.97474205
516,festival,0.9732795
517,people,0.9485289
518,audience,0.9076364
519,performance,0.99943686
520,music,0.99776816
521,concert,0.99709827
522,musician,0.9936497
523,singer,0.99007094
524,festival,0.9700174
525,band,0.95535016
526,stage,0.95007455
527,people,0.9366304
528,adult,0.92222285
529,guitar,0.9057789
530,performance,0.9985167
531,concert,0.99648565
532,music,0.9959848
533,musician,0.99241745
534,singer,0.9917865
535,band,0.96487606
536,stage,0.96474534
537,guitar,0.9546418
538,guitarist,0.94790137
539,people,0.9345256
540,pop music,0.9336374
541,festival,0.9132419
542,performance,0.9982848
543,concert,0.996771
544,music,0.9959346
545,stage,0.9783693
546,festival,0.97805315
547,musician,0.97430646
548,ballet,0.964965
549,people,0.96180737
550,singer,0.95567393
551,theatre,0.9250691
552,flamenco,0.923375
553,theater,0.91722965
554,guitar,0.9167744
555,performance,0.9912202
556,concert,0.98970747
557,music,0.9810812
558,musician,0.9730108
559,stage,0.9574187
560,people,0.9557303
561,singer,0.9425366
562,band,0.91589093
563,music,0.99932957
564,drum,0.9992544
565,percussion instrument,0.9975015
566,drummer,0.99497676
567,cymbal,0.99398285
568,instrument,0.9935428
569,sound,0.9933118
570,band,0.9909696
571,rhythm,0.9906714
572,musician,0.9900482
573,concert,0.9881852
574,performance,0.9879807
575,bass,0.98088384
576,rock,0.97362244
577,drumstick,0.96623
578,jazz,0.95963806
579,roll,0.9592345
580,beat,0.95628977
581,guitar,0.9526262
582,pop music,0.95121264
583,music,0.99689186
584,performance,0.9962518
585,concert,0.99496293
586,musician,0.99284965
587,singer,0.99133545
588,people,0.97736496
589,festival,0.9600912
590,stage,0.95577556
591,band,0.9539711
592,one,0.9096513
593,guitarist,0.90516454
594,performance,0.9984102
595,music,0.99697304
596,concert,0.99409187
597,musician,0.98627925
598,singer,0.9838716
599,guitarist,0.9726498
600,guitar,0.9692978
601,band,0.9590955
602,stringed instrument,0.94815314
603,festival,0.9202862
604,stage,0.9054394
605,performance,0.9986627
606,music,0.997639
607,concert,0.9933356
608,musician,0.98857045
609,singer,0.9838424
610,guitarist,0.97903925
611,guitar,0.978814
612,stringed instrument,0.97240156
613,band,0.9534886
614,instrument,0.9317986
615,punk,0.93152547
616,festival,0.9042939
617,performance,0.9954314
618,music,0.99198425
619,concert,0.98514974
620,musician,0.95945364
621,singer,0.95140827
622,adult,0.9056239
623,stage,0.90240526
624,performance,0.99521923
625,concert,0.99106216
626,music,0.98934317
627,musician,0.9844204
628,singer,0.97756565
629,festival,0.9585309
630,band,0.9562317
631,guitar,0.9203135
632,performance,0.99307126
633,music,0.99267614
634,concert,0.9898335
635,musician,0.9786293
636,singer,0.9743957
637,guitarist,0.94366324
638,band,0.94176793
639,guitar,0.9302431
640,festival,0.9123429
641,pop music,0.900064
642,music,0.9976402
643,performance,0.99732
644,concert,0.99320316
645,guitar,0.988137
646,musician,0.9875483
647,singer,0.98174113
648,guitarist,0.9769683
649,band,0.9575676
650,instrument,0.9460742
651,stage,0.9421958
652,stringed instrument,0.9360678
653,festival,0.92921925
654,pop music,0.9222115
655,music,0.9826568
656,performance,0.9816554
657,musician,0.9731106
658,concert,0.97246313
659,singer,0.9683069
660,guitar,0.936299
661,adult,0.93432367
662,people,0.93042123
663,instrument,0.92864484
664,guitarist,0.9252601
665,portrait,0.90956664
666,one,0.9074573
667,music,0.9947326
668,musician,0.99372125
669,performance,0.9919425
670,singer,0.99097836
671,concert,0.9887315
672,people,0.980155
673,band,0.9498904
674,one,0.9485184
675,stage,0.9452847
676,adult,0.93717754
677,guitar,0.93355453
678,microphone,0.925015
679,guitarist,0.90926194
680,performance,0.9992924
681,music,0.99888635
682,concert,0.99847376
683,musician,0.9957293
684,singer,0.99461496
685,band,0.98110116
686,festival,0.96666145
687,stage,0.9588803
688,guitarist,0.9572085
689,guitar,0.954762
690,pop music,0.9380988
691,people,0.92331135
692,performance,0.99839944
693,music,0.9977649
694,concert,0.9968324
695,musician,0.99171644
696,singer,0.9864445
697,band,0.97250456
698,stage,0.95746946
699,festival,0.9540911
700,pop music,0.908574
701,performance,0.99948597
702,music,0.9987118
703,concert,0.9986399
704,musician,0.9953315
705,singer,0.9937563
706,stage,0.98175937
707,band,0.9804394
708,festival,0.9665636
709,guitar,0.9609095
710,pop music,0.95936656
711,guitarist,0.94526565
712,instrument,0.9068432
713,microphone,0.9057001
714,stringed instrument,0.902573
715,people,0.9890269
716,one,0.98733103
717,adult,0.97844386
718,portrait,0.96900773
719,man,0.9641912
720,music,0.9616003
721,concert,0.92703867
722,musician,0.92246884
723,performance,0.9188946
724,monochrome,0.9098248
725,performance,0.99954593
726,concert,0.9988705
727,music,0.99878067
728,musician,0.99557215
729,singer,0.9952843
730,band,0.9794718
731,stage,0.97830397
732,pop music,0.9550605
733,guitar,0.9451208
734,festival,0.9391111
735,guitarist,0.92658055
736,performance,0.99593556
737,music,0.99295986
738,concert,0.99089646
739,musician,0.97461915
740,singer,0.967656
741,festival,0.9464092
742,people,0.9424331
743,stage,0.9291544
744,one,0.9179288
745,adult,0.9139442
746,band,0.90618175
747,music,0.99409044
748,performance,0.99292105
749,concert,0.9841689
750,musician,0.98152333
751,singer,0.97683406
752,people,0.95936954
753,festival,0.9502214
754,guitarist,0.9465603
755,guitar,0.9459722
756,band,0.917668
757,stage,0.9114276
758,stringed instrument,0.9090649
759,adult,0.9030758
760,performance,0.99825823
761,music,0.99765944
762,concert,0.993777
763,singer,0.9850937
764,musician,0.98459446
765,guitarist,0.9688294
766,band,0.9611761
767,festival,0.95451534
768,guitar,0.95101625
769,stage,0.9415417
770,pop music,0.9376399
771,performance,0.99708885
772,music,0.995407
773,concert,0.9908731
774,musician,0.98333836
775,singer,0.9811747
776,festival,0.9716015
777,band,0.95526755
778,guitarist,0.9486526
779,guitar,0.9375336
780,stage,0.9159111
781,people,0.90193975
782,people,0.98523897
783,music,0.9777298
784,musician,0.9755174
785,performance,0.9663665
786,one,0.9660687
787,singer,0.96545136
788,concert,0.9543855
