,name,value
0,wood,0.9833519
1,tree,0.9830051
2,no person,0.98066664
3,nature,0.9698024
4,old,0.9575571
5,outdoors,0.9554062
6,landscape,0.94482696
7,travel,0.94465446
8,house,0.93773186
9,leaf,0.9259491
10,architecture,0.9239899
11,sky,0.92064714
12,fall,0.912148
13,building,0.90922415
14,wheel,0.9834024
15,man,0.9789934
16,recreation,0.9786892
17,people,0.9711064
18,cyclist,0.967711
19,bike,0.9647683
20,competition,0.9615129
21,race,0.958489
22,leisure,0.9573343
23,fun,0.9557767
24,exercise,0.94980955
25,biker,0.9407537
26,lifestyle,0.93881834
27,road,0.92802346
28,vehicle,0.92017627
29,sport,0.91217816
30,action,0.9116686
31,child,0.9063271
32,hurry,0.9046228
33,recreation,0.98051906
34,competition,0.97015643
35,cyclist,0.9696404
36,man,0.967896
37,people,0.9656361
38,leisure,0.9596667
39,wheel,0.95857656
40,fun,0.9520993
41,race,0.9363367
42,action,0.93137527
43,road,0.92295694
44,exercise,0.9206022
45,adventure,0.91420805
46,lifestyle,0.9119217
47,motion,0.90063214
48,water,0.9951662
49,bridge,0.98744845
50,river,0.9873664
51,no person,0.9862475
52,landscape,0.98202837
53,nature,0.97592324
54,lake,0.97252905
55,travel,0.9581937
56,sky,0.95657265
57,dam,0.9556715
58,reservoir,0.9540988
59,grass,0.9475199
60,outdoors,0.9434054
61,tree,0.92520404
62,summer,0.9203413
63,reflection,0.90025795
64,bike,0.9886856
65,adventure,0.9849708
66,wheel,0.9730673
67,biker,0.97259736
68,trail,0.9688258
69,mud,0.96243167
70,man,0.9616014
71,people,0.9602804
72,road,0.9591321
73,soil,0.95884323
74,helmet,0.9583271
75,sport,0.952378
76,recreation,0.94743454
77,motion,0.94340473
78,hurry,0.94038075
79,action,0.92414683
80,fun,0.924044
81,leisure,0.9179477
82,race,0.9166346
83,cyclist,0.9124374
84,landscape,0.9908092
85,no person,0.98772097
86,water,0.98722696
87,mountain,0.9870257
88,travel,0.9858848
89,nature,0.9839448
90,sky,0.9681934
91,outdoors,0.953519
92,scenic,0.9473508
93,lake,0.9348111
94,seashore,0.9316013
95,grass,0.9243376
96,valley,0.9242189
97,summer,0.9233252
98,hill,0.9229424
99,rock,0.919674
100,sea,0.91413003
101,volcano,0.9099857
102,bike,0.9904039
103,wheel,0.99022907
104,fun,0.97378016
105,man,0.97172725
106,water,0.96914625
107,adventure,0.9689115
108,cyclist,0.96446145
109,sport,0.9632764
110,recreation,0.9620086
111,people,0.961419
112,biker,0.9525207
113,exercise,0.94340795
114,motion,0.94141644
115,active,0.93999153
116,leisure,0.93709326
117,roll along,0.9339149
118,road,0.93190336
119,lifestyle,0.93016875
120,helmet,0.92739666
121,hurry,0.92381465
122,recreation,0.97754264
123,outdoors,0.9699682
124,water,0.96578205
125,leisure,0.96567
126,adventure,0.95402
127,people,0.94190305
128,nature,0.9363061
129,action,0.917432
130,travel,0.9137052
131,motion,0.9092488
132,man,0.9071647
133,adventure,0.9865792
134,trail,0.98222065
135,recreation,0.9817997
136,road,0.9689643
137,landscape,0.9630484
138,people,0.9605659
139,action,0.9585416
140,motion,0.95824534
141,biker,0.95767665
142,tree,0.9554194
143,wood,0.9524779
144,travel,0.9517475
145,cyclist,0.95121574
146,mountain,0.93968916
147,bike,0.9354398
148,wheel,0.93365383
149,outdoors,0.9297392
150,leisure,0.92448014
151,sport,0.9221788
152,water,0.9104979
153,landscape,0.98995245
154,travel,0.96408296
155,mountain,0.9513464
156,road,0.95012105
157,no person,0.9292172
158,outdoors,0.92218494
159,recreation,0.9203695
160,vehicle,0.9123467
161,grassland,0.90292627
162,people,0.9014055
163,competition,0.99224895
164,athlete,0.97223234
165,people,0.94533384
166,man,0.9372264
167,exercise,0.9262217
168,adult,0.92413235
169,race,0.9236437
170,recreation,0.92353296
171,wheel,0.9216316
172,cyclist,0.9213765
173,house,0.9971186
174,architecture,0.9937681
175,building,0.9854038
176,family,0.97977436
177,town,0.97059
178,street,0.970109
179,home,0.96754265
180,roof,0.95247585
181,window,0.94388723
182,exterior,0.92634976
183,facade,0.9252136
184,travel,0.9104167
185,urban,0.903136
186,competition,0.99281627
187,championship,0.9815394
188,stadium,0.9655336
189,soccer,0.9611927
190,man,0.957163
191,squad,0.94654787
192,sport,0.9434992
193,audience,0.94339055
194,football,0.932394
195,people,0.9132478
196,race,0.91178954
197,sports fan,0.9032173
198,indoors,0.90223336
199,athlete,0.9006934
200,competition,0.9980985
201,race,0.9811336
202,sport,0.97813785
203,championship,0.97357816
204,athlete,0.9710976
205,hurry,0.9316287
206,action,0.9115385
207,competition,0.99914896
208,race,0.99858546
209,wheel,0.9925207
210,cyclist,0.9913057
211,bike,0.9898072
212,biker,0.96964246
213,hurry,0.9689696
214,track,0.960375
215,action,0.959679
216,helmet,0.95961225
217,ride,0.9549772
218,athlete,0.9543282
219,vehicle,0.9506663
220,championship,0.94767904
221,man,0.9432332
222,adult,0.93915
223,sport,0.93899953
224,fast,0.9306371
225,racer,0.92302823
226,competition,0.9872328
227,sport,0.9864683
228,race,0.95970106
229,wheel,0.95288396
230,active,0.941671
231,athlete,0.9308537
232,exercise,0.9278369
233,bike,0.9239025
234,man,0.91588795
235,hurry,0.9002702
236,competition,0.9940462
237,wheel,0.99326575
