,name,value
0,competition,0.99621415
1,ball,0.9930147
2,athlete,0.9894911
3,soccer,0.9873976
4,game,0.9821762
5,man,0.9713861
6,recreation,0.9598142
7,action energy,0.9575236
8,people,0.95703816
9,rugby,0.95171803
10,web,0.9462078
11,stadium,0.9398211
12,adult,0.9396732
13,motion,0.9380356
14,exercise,0.9354749
15,fun,0.93324816
16,football,0.9273495
17,match,0.92236507
18,goal,0.9123342
19,action,0.91077816
20,competition,0.98376083
21,child,0.9816438
22,ball,0.97805554
23,athlete,0.97307366
24,people,0.9677037
25,game,0.9647331
26,tennis,0.9645552
27,boy,0.96258867
28,recreation,0.96240544
29,sport,0.95684725
30,fun,0.95050514
31,adult,0.9454514
32,outdoors,0.93895054
33,leisure,0.9389218
34,exercise,0.93730086
35,portrait,0.93239737
36,one,0.925248
37,sports equipment,0.9128103
38,competition,0.9967542
39,athlete,0.9913825
40,people,0.98612905
41,action energy,0.98529434
42,sport,0.9842639
43,game,0.9837143
44,ball,0.9812126
45,soccer,0.9808942
46,man,0.9797052
47,exercise,0.97910774
48,child,0.97670025
49,recreation,0.97465926
50,motion,0.9737401
51,adult,0.9712783
52,football,0.96835345
53,stadium,0.96688634
54,goal,0.96419036
55,boy,0.95802844
56,fun,0.9535787
57,active,0.9454062
58,competition,0.9938154
59,athlete,0.9858018
60,recreation,0.9764713
61,people,0.9747671
62,child,0.9733885
63,game,0.9676595
64,ball,0.9672768
65,adult,0.9626862
66,exercise,0.9614537
67,motion,0.9601054
68,man,0.95720136
69,boy,0.9562607
70,action energy,0.9433814
71,fun,0.9345406
72,lifestyle,0.9208423
73,sports equipment,0.9199402
74,action,0.9177933
75,wear,0.9165971
76,adolescent,0.91398907
77,leisure,0.91312087
78,competition,0.9931666
79,exercise,0.98838484
80,sport,0.9865911
81,athlete,0.9844725
82,man,0.97989917
83,people,0.9707676
84,action energy,0.9633557
85,active,0.95966303
86,squad,0.95952404
87,recreation,0.95837647
88,ball,0.9554344
89,game,0.955017
90,child,0.95382726
91,fitness,0.9388319
92,motion,0.93717194
93,runner,0.9350195
94,adult,0.9296841
95,rugby,0.92566603
96,boy,0.9246026
97,goal,0.9245717
98,competition,0.9938747
99,athlete,0.989262
100,ball,0.9866266
101,game,0.98321795
102,people,0.9774723
103,child,0.97577643
104,motion,0.97181594
105,recreation,0.9717583
106,exercise,0.96624935
107,sport,0.9661989
108,action energy,0.9576652
109,fun,0.95172364
110,adult,0.9453132
111,boy,0.934448
112,leisure,0.924609
113,lifestyle,0.9121605
114,tennis,0.90686476
115,competition,0.9901583
116,action energy,0.97379255
117,motion,0.96776366
118,sport,0.966953
119,exercise,0.9638737
120,man,0.9524165
121,soccer,0.9413003
122,game,0.9407428
123,athlete,0.9394053
124,ball,0.9333935
125,people,0.9315722
126,active,0.9262237
127,recreation,0.9212395
128,hurry,0.9205953
129,stadium,0.920217
130,child,0.9154108
131,goal,0.908926
132,football,0.90811324
133,competition,0.99434805
134,athlete,0.98924446
135,ball,0.98220336
136,man,0.975472
137,exercise,0.9752127
138,soccer,0.97138786
139,sport,0.97046745
140,action energy,0.9669294
141,motion,0.96662855
142,people,0.9622202
143,adult,0.96068037
144,game,0.9597038
145,recreation,0.95691293
146,fitness,0.93774235
147,stadium,0.9221121
148,football,0.9141127
149,lifestyle,0.9076497
150,action,0.9021078
151,fun,0.9019085
152,soccer,0.9828417
153,sport,0.97716546
154,ball,0.9769089
155,competition,0.9749149
156,athlete,0.96889764
157,game,0.9623866
158,football,0.9587809
159,goal,0.94315505
160,people,0.93514997
161,exercise,0.928823
