,name,value
0,group,0.99466175
1,man,0.9856981
2,adult,0.97968674
3,woman,0.9788896
4,education,0.96499586
5,teamwork,0.96213394
6,meeting,0.9587344
7,room,0.9579677
8,indoors,0.95088714
9,facial expression,0.95045286
10,interaction,0.9456043
11,class,0.9454229
12,classroom,0.9440255
13,sitting,0.9423476
14,league,0.93752897
15,group together,0.93213636
16,school,0.9268131
17,cooperation,0.9248414
18,people,0.924435
19,university,0.920528
20,man,0.9920545
21,group,0.982088
22,people,0.9655713
23,adult,0.9642537
24,woman,0.96306425
25,education,0.9269392
26,man,0.98570657
27,indoors,0.9648148
28,education,0.96001136
29,group,0.9592442
30,woman,0.9588741
31,sitting,0.95841247
32,meeting,0.95734435
33,adult,0.95370317
34,room,0.92206955
35,teamwork,0.9170969
36,people,0.91328907
37,cooperation,0.9104106
38,sit,0.9006222
39,togetherness,0.90042156
40,indoors,0.9929186
41,woman,0.9924281
42,adult,0.9801408
43,man,0.9786813
44,people,0.96299136
45,room,0.96139824
46,education,0.92662704
47,two,0.920489
48,healthcare,0.91867775
49,sit,0.91394675
50,togetherness,0.9130379
51,indoors,0.9924139
52,woman,0.99057996
53,sitting,0.97625226
54,adult,0.975993
55,league,0.9746729
56,room,0.97393274
57,education,0.971987
58,meeting,0.9668891
59,classroom,0.9551386
60,lecture,0.95312
61,office,0.9374373
62,chair,0.9311329
63,convention,0.9281017
64,business,0.9249212
65,conference room,0.92385495
66,man,0.92361546
67,university,0.9216428
68,teamwork,0.91802084
69,furniture,0.91744393
70,school,0.914561
71,man,0.98305196
72,education,0.9785471
73,group,0.97558284
74,university,0.9540731
75,school,0.95204425
76,business,0.9495182
77,competition,0.9441674
78,league,0.94027317
79,people,0.93446726
80,meeting,0.92822146
81,adult,0.91998124
82,indoors,0.9125538
83,classroom,0.9051341
84,soccer,0.9019052
85,room,0.9003215
86,education,0.9843226
87,adult,0.9834572
88,man,0.9754244
89,school,0.9676496
90,people,0.96165586
91,university,0.9588083
92,woman,0.95013547
93,classroom,0.9351312
94,business,0.9312952
95,group,0.92144
96,indoors,0.9123322
97,league,0.9120397
98,desk,0.9103941
99,portrait,0.9075996
100,library,0.90125865
101,woman,0.98843133
102,education,0.98629117
103,indoors,0.97429335
104,adult,0.97415245
105,man,0.9727409
106,group,0.96892357
107,school,0.9571463
108,people,0.9555357
109,room,0.9552727
110,university,0.93649715
111,child,0.9305674
112,competition,0.91922015
113,class,0.9187433
114,classroom,0.9128777
115,facial expression,0.90879667
116,woman,0.9935289
117,group,0.9920562
118,man,0.9894849
119,education,0.9841996
120,teamwork,0.9766569
121,adult,0.9672248
122,indoors,0.9631922
123,class,0.9541167
124,cooperation,0.94814175
125,classroom,0.9437847
126,school,0.9388463
127,sitting,0.93640566
128,student,0.9297977
129,adolescent,0.92973804
130,university,0.9276877
131,togetherness,0.9273832
132,people,0.9247288
133,meeting,0.9225227
134,teacher,0.92102015
135,number four,0.91987
136,classroom,0.99442554
137,education,0.99427176
138,sitting,0.984426
139,man,0.98410046
140,woman,0.9803779
